Name,Tag
Reliance Industries Ltd,RELI
Tata Consultancy Services Ltd,TCS
HDFC Bank Ltd,HDBK
ICICI Bank Ltd,ICBK
Hindustan Unilever Ltd,HLL
ITC Ltd,ITC
Infosys Ltd,INFY
Housing Development Finance Corporation Ltd,HDFC
State Bank of India,SBI
Bharti Airtel Ltd,BRTI
Kotak Mahindra Bank Ltd,KTKM
Bajaj Finance Ltd,BJFN
Life Insurance Corporation Of India,LIC
Larsen & Toubro Ltd,LART
HCL Technologies Ltd,HCLT
Asian Paints Ltd,ASPN
Axis Bank Ltd,AXBK
Maruti Suzuki India Ltd,MRTI
Titan Company Ltd,TITN
Sun Pharmaceutical Industries Ltd,SUN
Avenue Supermarts Ltd,AVEU
Bajaj Finserv Ltd,BJFS
UltraTech Cement Ltd,ULTC
Adani Enterprises Ltd,ADEL
Wipro Ltd,WIPR
Nestle India Ltd,NEST
Oil and Natural Gas Corporation Ltd,ONGC
JSW Steel Ltd,JSTL
Tata Motors Ltd,TAMO
NTPC Ltd,NTPC
Power Grid Corporation of India Ltd,PGRD
Tata Motors Ltd,TAMdv
Mahindra and Mahindra Ltd,MAHM
Adani Green Energy Ltd,ADNA
Coal India Ltd,COAL
Adani Ports and Special Economic Zone Ltd,APSE
Tata Steel Ltd,TISC
Hindustan Zinc Ltd,HZNC
LTIMindtree Ltd,LRTI
Bajaj Auto Ltd,BAJA
Siemens Ltd,SIEM
Pidilite Industries Ltd,PIDI
SBI Life Insurance Company Ltd,SBIL
Indian Oil Corporation Ltd,IOC
Grasim Industries Ltd,GRAS
HDFC Life Insurance Company Ltd,HDFL
Adani Transmission Ltd,ADAI
Britannia Industries Ltd,BRIT
DLF Ltd,DLF
Vedanta Ltd,VDAN
Adani Total Gas Ltd,ADAG
Tech Mahindra Ltd,TEML
Godrej Consumer Products Ltd,GOCP
Hindalco Industries Ltd,HALC
Bank of Baroda Ltd,BOB
Varun Beverages Ltd,VARB
Hindustan Aeronautics Ltd,HIAE
Dabur India Ltd,DABU
Eicher Motors Ltd,EICH
Indusind Bank Ltd,INBK
Divi's Laboratories Ltd,DIVI
Shree Cement Ltd,SHCM
Adani Power Ltd,ADAN
Dr Reddy's Laboratories Ltd,REDY
Interglobe Aviation Ltd,INGL
Ambuja Cements Ltd,ABUJ
Bharat Petroleum Corporation Ltd,BPCL
Havells India Ltd,HVEL
SBI Cards and Payment Services Ltd,SBIC
Bharat Electronics Ltd,BAJE
Bajaj Holdings and Investment Ltd,BJAT
SRF Ltd,SRFL
Cipla Ltd,CIPL
ABB India Ltd,ABB
GAIL (India) Ltd,GAIL
Cholamandalam Investment and Finance Company Ltd,CHLA
Tata Consumer Products Ltd,TACN
Marico Ltd,MRCO
Apollo Hospitals Enterprise Ltd,APLH
Tata Power Company Ltd,TTPW
ICICI Prudential Life Insurance Company Ltd,ICIR
Berger Paints India Ltd,BRGR
IDBI Bank Ltd,IDBI
Jindal Steel And Power Ltd,JNSP
Bosch Ltd,BOSH
Canara Bank Ltd,CNBK
United Spirits Ltd,UNSP
Punjab National Bank,PNBK
Torrent Pharmaceuticals Ltd,TORP
UPL Ltd,UPLL
TVS Motor Company Ltd,TVSM
Shriram Finance Ltd,SRTR
ICICI Lombard General Insurance Company Ltd,ICIL
Adani Wilmar Ltd,AWL
Zydus Lifesciences Ltd,CADI
Zomato Ltd,ZOM
Union Bank of India Ltd,UNBK
Hero MotoCorp Ltd,HROM
Trent Ltd,TREN
Samvardhana Motherson International Ltd,MOSS
Tube Investments of India Ltd,TBEI
Indian Railway Catering and Tourism Corporation Ltd,INIR
Indian Hotels Company Ltd,IHTL
Info Edge (India) Ltd,INED
Polycab India Ltd,POLC
Abbott India Ltd,ABOT
CG Power and Industrial Solutions Ltd,CGPO
Indian Overseas Bank,IOBK
PI Industries Ltd,PIIL
Procter & Gamble Hygiene and Health Care Ltd,PROC
Page Industries Ltd,PAGE
Macrotech Developers Ltd,LOD
NHPC Ltd,NHPC
Yes Bank Ltd,YESB
Max Healthcare Institute Ltd,MAXE
Schaeffler India Ltd,SCHE
Power Finance Corporation Ltd,PWFC
Cummins India Ltd,CUMM
AU Small Finance Bank Ltd,AUFI
Colgate-Palmolive (India) Ltd,COLG
JSW Energy Ltd,JSWE
Ashok Leyland Ltd,ASOK
Indian Railway Finance Corp Ltd,IRF
Alkem Laboratories Ltd,ALKE
Tata Elxsi Ltd,TTEX
One 97 Communications Ltd,PAY
Muthoot Finance Ltd,MUTT
Balkrishna Industries Ltd,BLKI
Indian Bank,INBA
L&T Technology Services Ltd,LTEH
IDFC First Bank Ltd,IDFB
Aditya Birla Capital Ltd,ADTB
Indus Towers Ltd,BHRI
United Breweries Ltd,UBBW
Astral Ltd,ASPT
MRF Ltd,MRF
HDFC Asset Management Company Ltd,HDFA
Container Corporation of India Ltd,CCRI
Dalmia Bharat Ltd,DALB
Bharat Forge Ltd,BFRG
Gujarat Fluorochemicals Ltd,GUJL
Godrej Properties Ltd,GODR
Bandhan Bank Ltd,BANH
Aurobindo Pharma Ltd,ARBN
Tata Communications Ltd,TATA
Hindustan Petroleum Corp Ltd,HPCL
Petronet LNG Ltd,PLNG
Persistent Systems Ltd,PERS
Indraprastha Gas Ltd,IGAS
Star Health and Allied Insurance Company Ltd,STARH
Solar Industries India Ltd,SLIN
UCO Bank,UCBK
Patanjali Foods Ltd,RCSY
Steel Authority of India Ltd,SAIL
Supreme Industries Ltd,SUPI
Mphasis Ltd,MBFL
Vodafone Idea Ltd,VODA
Linde India Ltd,LIND
Bank of India Ltd,BOI
APL Apollo Tubes Ltd,APLA
Oberoi Realty Ltd,OEBO
Fsn E-Commerce Ventures Ltd,NYK
REC Ltd,RECM
ACC Ltd,ACC
Embassy Office Parks REIT,EMBA
NMDC Ltd,NMDC
Mahindra and Mahindra Financial Services Ltd,MMFS
Lupin Ltd,LUPN
Gujarat Gas Ltd,GGAS
Honeywell Automation India Ltd,HONE
Vedant Fashions Ltd,MANY
Oracle Financial Services Software Ltd,ORCL
UNO Minda Ltd,MNDA
Jubilant Foodworks Ltd,JUBI
Federal Bank Ltd,FED
Coromandel International Ltd,CORF
Oil India Ltd,OILI
Biocon Ltd,BION
Delhivery Ltd,DELH
Sona BLW Precision Forgings Ltd,SONAC
GMR Infrastructure Ltd,GMRI
Bharat Heavy Electricals Ltd,BHEL
General Insurance Corporation of India,GENA
Voltas Ltd,VOLT
CRISIL Ltd,CRSL
Torrent Power Ltd,TOPO
Syngene International Ltd,SYNN
PB Fintech Ltd,POLI
Sundaram Finance Ltd,SNFN
3M India Ltd,TMIN
AIA Engineering Ltd,AIAE
Deepak Nitrite Ltd,DPNT
Thermax Limited,THMX
Phoenix Mills Ltd,PHOE
Central Bank of India Ltd,CBI
Escorts Ltd,ESCO
KPIT Technologies Ltd,KPIE
Coforge Ltd,COFO
Poonawalla Fincorp Ltd,MAGM
Tata Chemicals Ltd,TTCH
Metro Brands Ltd,METR
Navin Fluorine International Ltd,NAFL
Motherson Sumi Wiring India Ltd,MSU
Jindal Stainless Ltd,JIST
CPSE ETF,GOMS
Punjab & Sind Bank,PUNA
J K Cement Ltd,JKCE
L&T Finance Holdings Ltd,LTFH
Gland Pharma Ltd,GLAN
Timken India Ltd,TIMK
Fertilisers And Chemicals Travancore Ltd,FCTL
Apollo Tyres Limited,APLO
Rail Vikas Nigam Ltd,RAIV
Sundram Fasteners Ltd,SNFS
Max Financial Services Ltd,MAXI
GlaxoSmithKline Pharmaceuticals Ltd,GLAX
Relaxo Footwears Ltd,RLXO
Grindwell Norton Ltd,GRNN
KPR Mill Ltd,KPRM
Aditya Birla Fashion and Retail Ltd,ADIA
Atul Ltd,ATLP
SKF India Ltd,SKFB
Kansai Nerolac Paints Ltd,KANE
Vinati Organics Ltd,VNTI
Sumitomo Chemical India Ltd,SUMH
Mindspace Business Parks REIT,MINS
Carborundum Universal Ltd,CRBR
Aarti Industries Ltd,ARTI
Bank of Maharashtra Ltd,BMBK
Prestige Estates Projects Ltd,PREG
ZF Commercial Vehicle Control Systems India Ltd,WABC
Devyani International Ltd,DEVY
Fortis Healthcare Ltd,FOHE
Endurance Technologies Ltd (CN),ENDU
Bata India Ltd,BATA
Hatsun Agro Product Ltd,HAPL
LIC Housing Finance Ltd,LICH
IIFL Finance Ltd,IIFL
Bayer Cropscience Ltd,BAYE
Bharat Dynamics Ltd,BARA
Zee Entertainment Enterprises Ltd,ZEE
IPCA Laboratories Ltd,IPCA
Kajaria Ceramics Ltd,KAJR
New India Assurance Company Ltd,THEE
Ramco Cements Ltd,TRCE
Pfizer Ltd,PFIZ
Dixon Technologies (India) Ltd,DIXO
KEI Industries Ltd,KEIN
